rt,responses,trial_type,time_elapsed,stimulus,graphorder,button_pressed,problems,smooth,distraction,strategies,easier,similar,comments
48188.699999928474,{worker_id:59894fbbda239a0001fb8e16},id_enter,48191,id_enter,GW/snail.jpg; GW/wheelchair.jpg; GW/hat.jpg; GW/basket.jpg; GW/dustpan.jpg; GW/paint.jpg; GW/soldier.jpg; GW/globe.jpg; GW/gong.jpg; GW/teeth.jpg; GW/barrel.jpg; GW/camera.jpg; GW/jukebox.jpg,,,,,,,,
34101,,fullscreen,82295,fullscreen,,0,,,,,,,
,,survey,141239,survey-questions,,,reload,low,no,tried to memorize the names at the top of the pictures,no about the same,no,no
